Feature,Importance,Original_Feature
trf2__u_symptom_Symptom 532,0.034444377,u
trf2__u_symptom_Symptom 506,0.031089803,u
trf2__u_symptom_Symptom 534,0.02263982,u
trf2__u_symptom_Symptom 458,0.019379225,u
trf2__u_symptom_Symptom 118,0.01871815,u
trf2__u_symptom_Symptom 127,0.014030034,u
trf2__u_symptom_Symptom 120,0.013521484,u
trf2__u_symptom_Symptom 517,0.013458781,u
trf2__u_symptom_Symptom 54,0.012614113,u
trf2__u_symptom_Symptom 454,0.011974415,u
trf2__u_symptom_Symptom 455,0.010536574,u
trf2__u_symptom_Symptom 295,0.010354053,u
trf2__u_symptom_Symptom 468,0.01034749,u
trf2__u_symptom_Symptom 465,0.009985003,u
trf2__u_symptom_Symptom 65,0.0096265385,u
trf2__u_symptom_Symptom 119,0.0093035335,u
trf2__u_symptom_Symptom 105,0.009187428,u
trf2__u_symptom_Symptom 87,0.008901628,u
trf2__u_symptom_Symptom 462,0.008868418,u
trf2__u_symptom_Symptom 116,0.007867369,u
trf2__u_symptom_Symptom 5,0.007796182,u
trf2__location_Location 125,0.0077181277,location
trf2__u_symptom_Symptom 114,0.007474334,u
trf2__u_symptom_Symptom 280,0.0074446793,u
trf2__u_symptom_Symptom 267,0.007307299,u
trf2__u_symptom_Symptom 263,0.007177937,u
trf2__u_symptom_Symptom 381,0.007175896,u
trf2__u_symptom_Symptom 587,0.006776085,u
trf2__u_symptom_Symptom 495,0.0065588295,u
trf2__u_symptom_Symptom 274,0.0063877385,u
trf2__u_symptom_Symptom 211,0.0059932196,u
trf2__u_symptom_Symptom 244,0.005830751,u
trf2__u_symptom_Symptom 70,0.005780605,u
trf2__u_symptom_Symptom 250,0.0056903916,u
trf2__u_symptom_Symptom 463,0.0056839273,u
trf2__u_symptom_Symptom 216,0.005624698,u
trf2__u_symptom_Symptom 286,0.005604143,u
trf2__u_symptom_Symptom 115,0.0055796616,u
trf2__u_symptom_Symptom 218,0.005441071,u
trf2__u_symptom_Symptom 9,0.005388264,u
trf2__u_symptom_Symptom 221,0.0050746193,u
trf2__u_symptom_Symptom 129,0.00500891,u
trf2__u_symptom_Symptom 435,0.0050083525,u
trf2__u_symptom_Symptom 252,0.004972594,u
trf2__u_symptom_Symptom 258,0.0049556266,u
trf2__u_symptom_Symptom 509,0.0049348893,u
trf2__location_Location 188,0.004757993,location
trf2__u_symptom_Symptom 217,0.0044940156,u
trf2__u_symptom_Symptom 519,0.004418022,u
trf2__u_symptom_Symptom 371,0.0043780673,u
trf2__u_symptom_Symptom 438,0.0043338607,u
trf2__u_symptom_Symptom 466,0.0043305466,u
trf2__u_symptom_Symptom 239,0.0042907894,u
trf2__u_symptom_Symptom 531,0.004253443,u
trf2__u_symptom_Symptom 596,0.0042490894,u
trf2__u_symptom_Symptom 232,0.0041274484,u
trf2__u_symptom_Symptom 420,0.0040879166,u
trf2__u_symptom_Symptom 292,0.0040763486,u
trf2__u_symptom_Symptom 102,0.0040763402,u
trf2__u_symptom_Symptom 222,0.0039796405,u
trf2__u_symptom_Symptom 259,0.0039790017,u
trf2__u_symptom_Symptom 8,0.00394701,u
trf2__u_symptom_Symptom 56,0.003860616,u
trf2__u_symptom_Symptom 301,0.0037870195,u
trf2__u_symptom_Symptom 375,0.003699324,u
trf2__u_symptom_Symptom 284,0.0036669883,u
trf2__u_symptom_Symptom 514,0.003585065,u
trf2__u_symptom_Symptom 130,0.0035497698,u
trf2__u_symptom_Symptom 296,0.0034853807,u
trf2__u_symptom_Symptom 609,0.0034466295,u
trf2__u_symptom_Symptom 457,0.0034316827,u
trf2__u_symptom_Symptom 257,0.0033893913,u
trf2__u_symptom_Symptom 247,0.0033753086,u
trf2__u_symptom_Symptom 44,0.0033382864,u
trf2__u_symptom_Symptom 508,0.0032296204,u
trf2__u_symptom_Symptom 391,0.0032154047,u
trf2__u_symptom_Symptom 277,0.0031747173,u
trf2__u_symptom_Symptom 282,0.0031509236,u
trf2__u_symptom_Symptom 241,0.0031003945,u
trf2__u_symptom_Symptom 526,0.0030753363,u
trf2__u_symptom_Symptom 520,0.003064241,u
trf2__u_symptom_Symptom 474,0.0030453124,u
trf2__u_symptom_Symptom 278,0.0030235043,u
trf2__u_symptom_Symptom 387,0.0029666477,u
trf2__u_symptom_Symptom 94,0.0029651036,u
trf2__u_symptom_Symptom 236,0.0029598707,u
trf2__u_symptom_Symptom 51,0.0029468038,u
trf2__u_symptom_Symptom 370,0.0029221748,u
trf2__u_symptom_Symptom 403,0.0028704721,u
trf2__u_symptom_Symptom 7,0.0028602292,u
trf2__u_symptom_Symptom 425,0.002810895,u
trf2__notify_Send Email,0.0026919872,notify
trf2__u_symptom_Symptom 376,0.0026897155,u
trf2__u_symptom_Symptom 332,0.0026518838,u
trf2__u_symptom_Symptom 10,0.0026505801,u
trf2__u_symptom_Symptom 266,0.002570413,u
trf2__u_symptom_Symptom 361,0.0025440366,u
