Feature,Importance
remainder__opened_hour,0.2422545567910352
remainder__opened_month,0.10053181597834007
trf1__opened_day_of_week_2,0.04300828714156129
trf1__opened_day_of_week_3,0.03816245820693391
trf1__opened_day_of_week_0,0.030690037552670142
trf1__opened_day_of_week_1,0.028947605763932672
trf1__location_Location 204,0.02592935419252512
trf1__u_symptom_nan,0.02392693051956121
trf1__u_symptom_Symptom 491,0.02387279180960881
trf1__opened_day_of_week_4,0.023137483585098016
trf1__location_Location 161,0.01776393858752386
trf1__location_Location 108,0.01563267067103519
trf1__location_Location 93,0.01377635006499118
trf1__location_Location 143,0.00996257640611123
trf1__location_Location 51,0.009742381896404433
trf1__location_Location 188,0.008166222576196803
remainder__knowledge,0.008152579187817817
trf1__opened_day_of_week_5,0.007882973131039419
remainder__is_weekend,0.00693359800039819
trf1__opened_day_of_week_6,0.006735281140334914
trf1__u_symptom_Symptom 534,0.005222551156107427
trf1__u_symptom_Symptom 473,0.004900002004569566
trf1__location_Location 41,0.00474093580514207
trf1__u_symptom_Symptom 607,0.004432354381612573
trf1__location_Location 179,0.004392400009445243
trf1__u_symptom_Symptom 4,0.004302386859693379
trf1__u_symptom_Symptom 6,0.0038298175321985254
trf1__u_symptom_Symptom 116,0.0038132800004527043
trf1__location_Location 135,0.0037249804424164257
trf1__location_Location 43,0.0035499966548153353
trf1__location_Location 18,0.0034496258781394405
trf1__u_symptom_Symptom 387,0.0033459735469694904
trf1__u_symptom_Symptom 208,0.0033129713577958538
trf1__u_symptom_Symptom 296,0.0031615566482184375
trf1__u_symptom_Symptom 434,0.0031332991306497002
trf1__u_symptom_Symptom 263,0.0031003611009451314
trf1__u_symptom_Symptom 245,0.0030579839040585817
trf1__location_Location 96,0.0030419567418366045
trf1__u_symptom_Symptom 117,0.0030307080796513606
trf1__u_symptom_Symptom 486,0.0030179805444733353
trf1__u_symptom_Symptom 470,0.002941429192297652
trf1__location_Location 71,0.002874376663875055
trf1__u_symptom_Symptom 7,0.0028309625977312883
trf1__u_symptom_Symptom 242,0.002799039938366276
trf1__u_symptom_Symptom 256,0.0027510721246410794
trf1__u_symptom_Symptom 532,0.002744834558472966
trf1__u_symptom_Symptom 292,0.0027323905769264076
trf1__location_Location 128,0.0026739166010808996
trf1__location_Location 55,0.00262515466064254
trf1__location_Location 118,0.0026175977773822624
trf1__location_Location 17,0.002594590724325369
trf1__u_symptom_Symptom 472,0.0025190446747452824
trf1__location_Location 210,0.002446357598501039
trf1__location_Location 136,0.002421032322598222
trf1__location_Location 229,0.0023846777523820555
trf1__u_symptom_Symptom 580,0.0023358515766915234
trf1__u_symptom_Symptom 551,0.0022923996067970493
trf1__location_Location 170,0.0022051608420548124
